Product_Name,Product Family,Product Design,Product Fabric,Price,Sale_Price,Avaliable_Colors,Product_ID,Absolute_Path
Relaxed Tapered Trouser,Other,On the Move,Other,148.0,0.0,"Army Green, Black, Bone, Nomad, Trench, True Navy",prod11250229,/p/men-pants/Relaxed-Tapered-Trouser/_/prod11250229
ABC Pull-On Pant,ABC,On the Move,Warpstreme Fabric,128.0,0.0,"Army Green, Black, Natural Ivory, Obsidian, Trench",prod11250141,/p/men-pants/ABC-Pull-On-Pant-27/_/prod11250141
ABC Jogger *Warpstreme,ABC,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Black, Carbon Dust, Dark Olive, Grey Sage, Iron Blue, Obsidian, Silver Drop, True Navy",prod8530240,/p/men-joggers/Abc-Jogger/_/prod8530240
Utilitech Pull-On Relaxed-Fit Pant *Online Only,Pull-On,On the Move,Utilitech Fabric,128.0,0.0,"Black, Carob Brown, Classic Navy, Dark Mocha, Grey Sage, Trench",prod11110116,/p/men-pants/Utilitech-Pull-On-Relaxed-Pant-27/_/prod11110116
"Commission Classic-Tapered Golf Pant 32""",Commission,Golf,Stretch Fabric,148.0,0.0,"Night Sea, Rhino Grey, Trench, White",prod11380385,/p/men-pants/Commission-Relax-Tapered-Golf-Pant/_/prod11380385
Utilitech Pull-On Classic-Fit Pant,Pull-On,On the Move,Utilitech Fabric,128.0,0.0,"Black, Classic Navy, Dark Mocha, Grey Sage, Trench",prod11110117,/p/men-pants/Utilitech-Pull-On-Classic-Pant-30/_/prod11110117
Evergreen Jogger,Unspecified Jogger,On the Move,Other,128.0,0.0,"Black, Medium Olive",prod11250589,/p/men-joggers/Evergreen-Jogger/_/prod11250589
"ABC Classic-Fit Pant 32"" *Warpstreme",ABC,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Asphalt Grey, Black, Bone, Carbon Dust, Dark Olive, Grey Sage, Iron Blue, Obsidian, Silver Drop, Silverstone, Smoked Spruce, Trench, True Navy",prod9000003,/p/men-pants/ABC-Pant-Classic-32/_/prod9000003
"Commission Classic-Fit Pant 32"" *Warpstreme",Commission,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Asphalt Grey, Black, Bone, Carbon Dust, Dark Olive, Deep Artifact, Grey Sage, Iron Blue, Obsidian, Silver Drop, Silverstone, Trench, True Navy",prod9510026,/p/mens-trousers/Commission-Pant-Classic-Warpstreme-32/_/prod9510026
Utilitech Carpenter Pant,Other,On the Move,Utilitech Fabric,148.0,0.0,"Artifact, Bone, Natural Ivory, Rhino Grey, Trench",prod11130098,/p/men-pants/Utilitech-Carpenter-Pant-27/_/prod11130098
License to Train Jogger,License to Train,Training,Swift Fabric,128.0,0.0,"Black, Classic Navy, Graphite Grey, Heathered Raw Linen/White, Medium Olive, Red Merlot",prod9600638,/p/men-joggers/License-to-Train-Jogger-Updated/_/prod9600638
Surge Jogger,Surge,Running,Quick-Drying Fabric,118.0,0.0,"Black, Graphite Grey, Iron Blue, Raw Linen, Red Merlot, Rhino Grey, Smoked Spruce, True Navy",prod8470023,/p/men-joggers/Surge-Jogger/_/prod8470023
Classic-Fit Fleece Jogger,Unspecified Jogger,On the Move,Fleece Fabric,128.0,0.0,Black,prod11240107,/p/men-joggers/Polar-Fleece-Jogger/_/prod11240107
"ABC Slim-Fit Pant 32"" *Warpstreme",ABC,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Asphalt Grey, Black, Bone, Carbon Dust, Dark Olive, Grey Sage, Iron Blue, Obsidian, Silver Drop, Silverstone, Smoked Spruce, Trench, True Navy, Vapor",prod9390007,/p/men-pants/Abc-Slim-5-Pocket-32/_/prod9390007
"ABC Slim-Fit Pant 34"" *Utilitech",ABC,On the Move,Utilitech Fabric,128.0,0.0,"Artifact, Black, Bone, Dark Olive, Iron Blue, Seal Grey, Trench, True Navy, White",prod10050065,/p/mens-trousers/ABC-Pant-Slim-Utilitech-34/_/prod10050065
"Commission Slim-Fit Pant 32"" *Warpstreme",Commission,On the Move,Warpstreme Fabric,128.0,0.0,"Artifact, Asphalt Grey, Black, Bone, Carbon Dust, Chambray, Dark Olive, Grey Sage, Iron Blue, Obsidian, Silver Drop, Silverstone, Trench, True Navy",prod8980473,/p/men-pants/Commission-Pant-Slim-Warpstreme-32/_/prod8980473
